scenario,plant_id,controller,mean_cost,peak_error,tail_rms_error,tail_growth_ratio,max_abs_u,mean_step_ms,median_step_ms,p95_step_ms,max_step_ms,utilization_pct,benchmark_samples,late_escalation,failure,failure_reason,failure_detail,rank_mean_cost,rank_peak_error,rank_tail_rms_error,rank_tail_growth_ratio,rank_max_abs_u,rank_failure,composite_rank
nominal,stable__lhp_zero,32_32 (compact6),0.07652935428744344,2.0,6.215034609839299e-05,0.4385351511507577,1.2939634990632782,0.0069614273927392735,0.006850663366336634,0.007581332178217821,0.008136554455445545,0.007581332178217821,12,False,False,,,9.0,5.5,5.0,8.0,1.0,5.5,5.666666666666667
nominal,stable__lhp_zero,16_16_16 (rich11),0.07507434226966833,2.0,0.0004988392943723275,0.53277709266799,1.3551535108399637,0.0073325775577557754,0.007499381188118812,0.008754782178217822,0.009514435643564356,0.008754782178217822,12,False,False,,,5.0,5.5,9.0,9.0,3.0,5.5,6.166666666666667
nominal,stable__lhp_zero,16_16_16 (compact6),0.07569282965755883,2.0,0.00011917455396454852,0.2551678693447935,1.3655847439445645,0.0077251806930693084,0.007649128712871287,0.008451880693069307,0.008488861386138614,0.008451880693069307,12,False,False,,,8.0,5.5,7.0,4.0,6.0,5.5,6.0
nominal,stable__lhp_zero,32_32_32 (rich11),0.07466865975604242,2.0,0.00015811899754109108,0.4036838329890173,1.3869813638122659,0.008645590759075908,0.008544346534653465,0.00915284504950495,0.009776811881188119,0.00915284504950495,12,False,False,,,4.0,5.5,8.0,6.0,8.0,5.5,6.166666666666667
nominal,stable__lhp_zero,32_32_32 (compact6),0.07523847015268972,2.0,9.95702719773841e-06,0.41091426411616433,1.357029361117969,0.008524442244224424,0.008405732673267326,0.008842679207920793,0.008860148514851486,0.008842679207920793,12,False,False,,,7.0,5.5,4.0,7.0,5.0,5.5,5.666666666666667
disturbed,stable__lhp_zero,MPC,0.07766536939369008,2.0,0.046529748694425874,0.8231888028443589,1.4801390192067105,0.01982477392739274,0.01961221287128713,0.02062863514851485,0.021133257425742572,0.020628635148514853,12,False,False,,,1.0,5.5,10.0,9.0,10.0,5.5,6.833333333333333
disturbed,stable__lhp_zero,RL (PID-features),0.07972928871129033,2.0,0.0292727657755858,0.8266936542226584,1.4288785043061654,0.002191179867986799,0.002226277227722772,0.002314110396039604,0.0023259108910891092,0.002314110396039604,12,False,False,,,6.0,5.5,6.0,10.0,9.0,5.5,7.0
disturbed,stable__lhp_zero,16_16 (rich11),0.08175626304231395,2.0,0.03639378712333616,0.6684418857192879,1.3137756618353083,0.005958918316831683,0.005962049504950495,0.006920915841584159,0.006933168316831683,0.006920915841584159,12,False,False,,,10.0,5.5,9.0,3.0,2.0,5.5,5.833333333333333
disturbed,stable__lhp_zero,16_16 (compact6),0.07843741898400011,2.0,0.026457096063614682,0.6696645764523981,1.368042574720145,0.006405801980198019,0.006439148514851485,0.006695072277227722,0.006852306930693069,0.006695072277227722,12,False,False,,,3.0,5.5,1.0,4.0,3.0,5.5,3.6666666666666665
disturbed,stable__lhp_zero,32_32 (rich11),0.07786609513077886,2.0,0.02670492703741633,0.6676100687824373,1.3831751850599097,0.0069966303630363035,0.006957920792079208,0.00732549504950495,0.007652227722772277,0.00732549504950495,12,False,False,,,2.0,5.5,2.0,2.0,6.0,5.5,3.8333333333333335
