scenario,controller,mean_mean_cost,median_mean_cost,mean_peak_error,median_peak_error,mean_tail_rms_error,median_tail_rms_error,mean_tail_growth_ratio,median_tail_growth_ratio,mean_max_abs_u,median_max_abs_u,mean_composite_rank,median_composite_rank,mean_mean_step_ms,median_mean_step_ms,mean_median_step_ms,median_median_step_ms,mean_p95_step_ms,median_p95_step_ms,mean_max_step_ms,median_max_step_ms,mean_utilization_pct,median_utilization_pct,failure_count,late_escalation_count,failed_plants,failure_reasons,failure_cases,failure_details,late_escalation_plants,num_runs
nominal,16_16 (compact6),8.069091251233194,0.22651209308975356,5.7772679469487205,2.0,1.8371764052891573,0.014513376973705595,1.0811412849908864,0.8990401076655447,1.589900315796843,1.3568062359100503,6.018518518518519,6.666666666666667,0.0057860742574257435,0.005920173267326734,0.0059508388338833885,0.006290222772277228,0.006334207425742574,0.00652710396039604,0.006477630363036303,0.006660891089108911,0.006334207425742574,0.00652710396039604,1,1,unstable__rhp_zero,"late_escalation,peak_error",nominal:unstable__rhp_zero,unstable__rhp_zero (peak_error=34.93>10; tail_rms=16.34>0.2 and tail_g=2.823>1.2),unstable__rhp_zero,9
nominal,16_16 (rich11),0.25936205869273227,0.22763328842631522,2.1903265209311713,2.0,0.02149743963008665,0.007968010464002782,0.8504197459064069,0.6756032596359082,1.5722597407398182,1.2998521759127841,5.685185185185185,5.833333333333333,0.006142964063072975,0.006095881188118812,0.006339338283828383,0.006339935643564356,0.006841882783278327,0.0068098163366336634,0.007043041804180418,0.006823435643564356,0.006841882783278327,0.006809816336633664,0,0,,,,,,9
nominal,16_16_16 (compact6),252.17881124083078,0.22082856096564776,24.428087544883986,2.0,10.411287696403848,0.0026327859808928556,0.7976087144673417,0.538779098249556,1.5627273917209412,1.379491133851722,5.833333333333333,6.0,0.00725385460212688,0.007126203795379537,0.007396979097909791,0.007402430693069307,0.008038098789878986,0.00796476386138614,0.00825962596259626,0.007998346534653466,0.008038098789878986,0.00796476386138614,1,1,unstable__rhp_zero,"late_escalation,peak_error",nominal:unstable__rhp_zero,unstable__rhp_zero (peak_error=202.8>10; tail_rms=93.53>0.2 and tail_g=2.96>1.2),unstable__rhp_zero,9
nominal,16_16_16 (rich11),132.91591193459308,0.22228396798261016,18.19862423208575,2.0,7.5408022392884595,0.003034496883818382,0.8974661449529125,0.675009063352329,1.6107317924002826,1.4483098288789347,5.407407407407407,5.25,0.007216232214888155,0.0073325775577557754,0.007142348734873488,0.007499381188118812,0.008244546204620461,0.008255280198019802,0.008493353135313532,0.008455861386138614,0.00824454620462046,0.008255280198019802,1,1,unstable__rhp_zero,"late_escalation,peak_error",nominal:unstable__rhp_zero,unstable__rhp_zero (peak_error=146.7>10; tail_rms=67.84>0.2 and tail_g=2.93>1.2),unstable__rhp_zero,9
nominal,32_32 (compact6),0.2668855586968846,0.22103780767983386,2.2106066271899616,2.0,0.03441546820398582,0.007400182858185515,0.8459133555919769,0.7281384343161377,1.6041543927745647,1.4316938340585894,5.7407407407407405,5.666666666666667,0.006904542629262926,0.0068742103960396025,0.006808396589658965,0.006794554455445545,0.007371548789878987,0.007529862871287128,0.007624314631463147,0.007795386138613861,0.007371548789878987,0.007529862871287128,1,1,unstable__rhp_zero,late_escalation,nominal:unstable__rhp_zero,unstable__rhp_zero (tail_rms=0.2218>0.2 and tail_g=1.804>1.2),unstable__rhp_zero,9
nominal,32_32 (rich11),0.25921276408466354,0.22199005504697708,2.2129572752745825,2.0,0.022641627262279158,0.010049685526610173,0.8040735603790323,0.7437150563759739,1.6066984584217516,1.3818602249623675,5.462962962962963,5.333333333333333,0.0070555587642097545,0.007028499174917493,0.006974995599559955,0.006961633663366337,0.007494336248624863,0.007500971287128713,0.007703334433443345,0.0077784653465346534,0.007494336248624863,0.007500971287128713,0,0,,,,,,9
nominal,32_32_32 (compact6),212.6690068543375,0.22301213530617928,22.64687107681547,2.0,9.560881978520033,0.005589987935910444,1.0371904434912744,0.7578308480599039,1.5998865546272785,1.357029361117969,6.166666666666667,6.0,0.008566954345434544,0.008574429867986798,0.008441030253025303,0.008405732673267326,0.009144132783278327,0.00911068514851485,0.009340575357535753,0.009286722772277227,0.009144132783278327,0.00911068514851485,1,1,unstable__rhp_zero,"late_escalation,peak_error",nominal:unstable__rhp_zero,unstable__rhp_zero (peak_error=186.7>10; tail_rms=85.9>0.2 and tail_g=2.982>1.2),unstable__rhp_zero,9
nominal,32_32_32 (rich11),0.24777543542579922,0.22237526148247003,2.2171496395495294,2.0,0.01135515014680389,0.003468565323843829,0.697185974400722,0.7343414122546059,1.580740383420046,1.3869813638122659,5.055555555555556,5.333333333333333,0.008665914191419141,0.0086944100660066,0.00857824587458746,0.008544346534653465,0.009146934543454345,0.00915284504950495,0.00932920902090209,0.009253712871287128,0.009146934543454345,0.00915284504950495,0,0,,,,,,9
nominal,MPC,0.24096141602115026,0.21983677519591763,2.2740319629309877,2.0,1.3963563303257896e-07,3.1540110097740884e-08,0.145045346188787,0.1265243287911003,1.7189251806918247,1.4739170082191264,3.6666666666666665,4.0,0.020047617895122844,0.020067348184818482,0.0198633800880088,0.01986138613861386,0.02115723531353135,0.021335765841584156,0.02155266776677668,0.021681930693069305,0.02115723531353135,0.021335765841584156,0,0,,,,,,9
nominal,RL (PID-features),0.8696761972553831,0.24866873852550306,2.5900458495335084,2.0,0.024594761088495558,0.0003144367984986556,0.43668946526128927,0.3025181603744795,2.3489322811690316,1.4764210033832312,5.962962962962963,5.833333333333333,0.0020604030986431975,0.00219190099009901,0.0020360973597359734,0.002196168316831683,0.0022430665566556653,0.0022876034653465343,0.0023276479647964796,0.0023077524752475246,0.0022430665566556653,0.0022876034653465343,0,0,,,,,,9
