scenario,plant_id,controller,variant_id,mean_cost,peak_error,tail_rms_error,tail_growth_ratio,max_abs_u,late_escalation,failure,failure_reason,failure_detail,rank_mean_cost,rank_peak_error,rank_tail_rms_error,rank_tail_growth_ratio,rank_max_abs_u,rank_failure,composite_rank
disturbed,unstable__no_zero,32_32_32 (compact6),mlp_compact6_xl,0.11720365447456246,2.0,0.01603595952345643,2.561227630933322,2.2267518356911293,False,False,,,6.0,4.5,7.0,6.0,6.0,4.5,5.666666666666667
hidden_pole,unstable__no_zero,32_32_32 (compact6),mlp_compact6_xl,0.13697723158923147,2.0,0.0004633420205686231,0.6702668072104863,2.4678616337725607,False,False,,,1.0,4.0,1.0,7.0,3.0,4.0,3.3333333333333335
nominal,unstable__lhp_zero,16_16 (rich11),mlp_rich_default,0.035703880019800405,2.0,0.0003929982035014709,0.45337558604123207,1.0329740812780261,False,False,,,2.0,4.5,5.0,4.0,5.0,4.5,4.166666666666667
disturbed,unstable__lhp_zero,16_16 (rich11),mlp_rich_default,0.03962530139000739,2.0,0.030243760840254097,1.2084102618883323,1.1410182488688025,False,False,,,1.0,4.5,2.0,7.0,3.0,4.5,3.6666666666666665
hidden_pole,unstable__lhp_zero,16_16 (rich11),mlp_rich_default,0.04632678377327072,2.0,0.00013655608241536346,0.4371514624279964,1.2277641191203026,False,False,,,4.0,4.5,5.0,4.0,6.0,4.5,4.666666666666667
nominal,unstable__lhp_zero,16_16 (compact6),mlp_compact6,0.03591141864067403,2.0,0.00011565303478690307,0.37780968193240044,1.0407968787034148,False,False,,,6.0,4.5,4.0,2.0,7.0,4.5,4.666666666666667
disturbed,unstable__lhp_zero,16_16 (compact6),mlp_compact6,0.04105144977388979,2.0,0.03183579012429354,1.1174805791330928,1.1558728421338995,False,False,,,4.0,4.5,3.0,4.0,5.0,4.5,4.166666666666667
hidden_pole,unstable__lhp_zero,16_16 (compact6),mlp_compact6,0.04609340339461196,2.0,7.441128713378847e-05,0.17703352904591485,1.157764696403483,False,False,,,2.0,4.5,4.0,1.0,2.0,4.5,3.0
nominal,unstable__lhp_zero,32_32 (rich11),mlp_rich_wide,0.035764786801271035,2.0,0.0014225856634235718,0.5626632421312391,1.0231828989827012,False,False,,,4.0,4.5,8.0,7.0,2.0,4.5,5.0
disturbed,unstable__lhp_zero,32_32 (rich11),mlp_rich_wide,0.03967893759116234,2.0,0.03196024683795077,1.188719703547657,1.1142155911157285,False,False,,,2.0,4.5,5.0,6.0,1.0,4.5,3.8333333333333335
hidden_pole,unstable__lhp_zero,32_32 (rich11),mlp_rich_wide,0.047359021125682944,2.0,0.0012430375139967419,0.5696902238747904,1.3584477236501091,False,False,,,8.0,4.5,8.0,8.0,7.0,4.5,6.666666666666667
nominal,unstable__lhp_zero,32_32 (compact6),mlp_compact6_wide,0.03619958455707428,2.0,0.00010072428859294585,0.3646619990207827,1.023859608949455,False,False,,,7.0,4.5,3.0,1.0,3.0,4.5,3.8333333333333335
disturbed,unstable__lhp_zero,32_32 (compact6),mlp_compact6_wide,0.04288887275029528,2.0,0.03794222691651914,1.0219456703939587,1.1613663441523119,False,False,,,6.0,4.5,6.0,3.0,6.0,4.5,5.0
hidden_pole,unstable__lhp_zero,32_32 (compact6),mlp_compact6_wide,0.04634833681860647,2.0,2.489745626693994e-05,0.4058462063148899,1.2179023927828552,False,False,,,5.0,4.5,3.0,3.0,4.0,4.5,4.0
nominal,unstable__lhp_zero,16_16_16 (rich11),mlp_max,0.035418753457533314,2.0,1.4488603236016338e-05,0.3909193640449522,1.008303792095535,False,False,,,1.0,4.5,1.0,3.0,1.0,4.5,2.5
disturbed,unstable__lhp_zero,16_16_16 (rich11),mlp_max,0.04470283829861815,2.0,0.09056786307966337,0.8566100050132577,1.1628646261577191,False,False,,,7.0,4.5,7.0,2.0,7.0,4.5,5.333333333333333
hidden_pole,unstable__lhp_zero,16_16_16 (rich11),mlp_max,0.04607632344686052,2.0,2.5162781684790322e-06,0.3322910416961351,1.2194625143744198,False,False,,,1.0,4.5,1.0,2.0,5.0,4.5,3.0
nominal,unstable__lhp_zero,16_16_16 (compact6),mlp_compact6_max,0.036951540879145164,2.0,0.0006932353250468918,0.5332912978332363,1.058325324906122,False,False,,,8.0,4.5,7.0,6.0,8.0,4.5,6.333333333333333
disturbed,unstable__lhp_zero,16_16_16 (compact6),mlp_compact6_max,0.04112961583307447,2.0,0.02800199356721552,1.2890190257299579,1.1532016264372016,False,False,,,5.0,4.5,1.0,8.0,4.0,4.5,4.5
hidden_pole,unstable__lhp_zero,16_16_16 (compact6),mlp_compact6_max,0.04713380262984656,2.0,0.0006931138038165198,0.5442808488989945,1.1528719935619043,False,False,,,7.0,4.5,7.0,7.0,1.0,4.5,5.166666666666667
nominal,unstable__lhp_zero,32_32_32 (rich11),mlp_rich_xl,0.03570415687764055,2.0,0.0004999198745660827,0.4724533458859748,1.0255238089087269,False,False,,,3.0,4.5,6.0,5.0,4.0,4.5,4.5
disturbed,unstable__lhp_zero,32_32_32 (rich11),mlp_rich_xl,0.0406152648317922,2.0,0.03187815988206439,1.1719778643147716,1.1324312007137995,False,False,,,3.0,4.5,4.0,5.0,2.0,4.5,3.8333333333333335
hidden_pole,unstable__lhp_zero,32_32_32 (rich11),mlp_rich_xl,0.04641189913339939,2.0,0.00045815440164411115,0.4843115669890929,1.3707008314981537,False,False,,,6.0,4.5,6.0,6.0,8.0,4.5,5.833333333333333
nominal,unstable__lhp_zero,32_32_32 (compact6),mlp_compact6_xl,0.03579171645290011,2.0,4.621986710640811e-05,0.7947323643563607,1.0333350976022533,False,False,,,5.0,4.5,2.0,8.0,6.0,4.5,5.0
disturbed,unstable__lhp_zero,32_32_32 (compact6),mlp_compact6_xl,0.09771330634319735,2.0,0.26994996846837144,0.35037480952340394,1.3934862351593489,False,False,,,8.0,4.5,8.0,1.0,8.0,4.5,5.666666666666667
hidden_pole,unstable__lhp_zero,32_32_32 (compact6),mlp_compact6_xl,0.04611512141252694,2.0,2.2174012601009196e-05,0.4584881031174118,1.2004634777907452,False,False,,,3.0,4.5,2.0,5.0,3.0,4.5,3.6666666666666665
nominal,unstable__rhp_zero,16_16 (rich11),mlp_rich_default,0.2833498647170265,2.585185244525809,0.01941562955348486,0.5897990423671984,1.2714209200924371,False,False,,,2.0,1.0,2.0,1.0,3.0,2.5,1.9166666666666667
disturbed,unstable__rhp_zero,16_16 (rich11),mlp_rich_default,241083095.32033515,93721.37533100734,30823.942472611594,8.164963037864768,1.711607588379224,True,True,"peak_error,late_escalation",peak_error=9.372e+04>10; tail_rms=3.082e+04>0.2 and tail_g=8.165>1.2,3.0,3.0,3.0,3.0,5.0,5.0,3.6666666666666665
hidden_pole,unstable__rhp_zero,16_16 (rich11),mlp_rich_default,66765522182.9193,1559681.3486144573,512957.03426609334,8.166083920401052,1.7876858959461654,True,True,"peak_error,late_escalation",peak_error=1.56e+06>10; tail_rms=5.13e+05>0.2 and tail_g=8.166>1.2,4.0,4.0,4.0,4.0,6.0,5.0,4.5
nominal,unstable__rhp_zero,16_16 (compact6),mlp_compact6,15567206497.869759,753121.652392945,247690.9890737587,8.166093191106485,1.8613563591635833,True,True,"peak_error,late_escalation",peak_error=7.531e+05>10; tail_rms=2.477e+05>0.2 and tail_g=8.166>1.2,5.0,5.0,5.0,5.0,8.0,6.5,5.75
disturbed,unstable__rhp_zero,16_16 (compact6),mlp_compact6,30674550988.241905,1057180.2978698346,347691.4200793084,8.166135632162609,2.051696593871717,True,True,"peak_error,late_escalation",peak_error=1.057e+06>10; tail_rms=3.477e+05>0.2 and tail_g=8.166>1.2,5.0,5.0,5.0,6.0,7.0,5.0,5.5
hidden_pole,unstable__rhp_zero,16_16 (compact6),mlp_compact6,6340940534983.663,15199766.602728778,4998983.566752219,8.166166149367438,1.8557868838521703,True,True,"peak_error,late_escalation",peak_error=1.52e+07>10; tail_rms=4.999e+06>0.2 and tail_g=8.166>1.2,7.0,7.0,7.0,7.0,8.0,5.0,6.833333333333333
nominal,unstable__rhp_zero,32_32 (rich11),mlp_rich_wide,0.3169144321890773,2.6542676104993674,0.21700970555462112,1.1674284076127401,1.259581494835863,False,False,,,3.0,3.0,4.0,4.0,2.0,2.5,3.0833333333333335
disturbed,unstable__rhp_zero,32_32 (rich11),mlp_rich_wide,0.6274215587632234,2.6771820946965676,0.19696788235704393,0.6470062151692294,1.661194337993787,False,False,,,1.0,2.0,1.0,1.0,4.0,1.0,1.6666666666666667
hidden_pole,unstable__rhp_zero,32_32 (rich11),mlp_rich_wide,0.5049839665143316,2.5123330857476813,0.3109098810913736,1.353577220606678,1.567049569195081,True,True,late_escalation,tail_rms=0.3109>0.2 and tail_g=1.354>1.2,2.0,3.0,2.0,2.0,4.0,5.0,3.0
nominal,unstable__rhp_zero,32_32 (compact6),mlp_compact6_wide,0.3383046161477125,2.624431898833301,0.09423587586378376,0.8831639465613939,1.4510615628724954,False,False,,,4.0,2.0,3.0,3.0,5.0,2.5,3.25
disturbed,unstable__rhp_zero,32_32 (compact6),mlp_compact6_wide,2274351294.644638,287862.3316959882,94674.62438963263,8.165155537929936,2.5152317959945574,True,True,"peak_error,late_escalation",peak_error=2.879e+05>10; tail_rms=9.467e+04>0.2 and tail_g=8.165>1.2,4.0,4.0,4.0,4.0,8.0,5.0,4.833333333333333
hidden_pole,unstable__rhp_zero,32_32 (compact6),mlp_compact6_wide,1.3635187166800664,2.4919774823136254,0.5623308781016024,2.052747727214003,1.846062751879989,True,True,late_escalation,tail_rms=0.5623>0.2 and tail_g=2.053>1.2,3.0,2.0,3.0,3.0,7.0,5.0,3.8333333333333335
nominal,unstable__rhp_zero,16_16_16 (rich11),mlp_max,281345201667.2865,3201693.029590187,1052990.9130218609,8.166129529870355,1.6588358122104292,True,True,"peak_error,late_escalation",peak_error=3.202e+06>10; tail_rms=1.053e+06>0.2 and tail_g=8.166>1.2,6.0,6.0,6.0,6.0,7.0,6.5,6.25
