mode,N,x0,theta0_deg,pass_case,survived_horizon,settled,failure_reason,failure_time_s,steps_completed,max_abs_theta_deg,max_abs_x_m,max_abs_u_n,final_x_m,final_theta_deg,final_rate_norm
successive,40,0.0,-5.0,False,True,False,--,nan,401,5.0,0.855382135781563,6.745066933952693,0.855382135781563,0.012400782344005571,0.09598621030042838
successive,40,0.0,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4954414255058607,4.0136304115360835,0.4954414255058607,0.007186828303353451,0.05549832208308239
successive,40,0.0,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4954414255058607,4.0136304115360835,-0.4954414255058607,-0.007186828303353451,0.05549832208308239
successive,40,0.0,5.0,False,True,False,--,nan,401,5.0,0.855382135781563,6.745066933952693,-0.855382135781563,-0.012400782344005571,0.09598621030042838
successive,40,0.0,8.0,False,True,False,--,nan,401,8.0,1.539450691456959,9.999999274370454,-1.539450691456959,-0.022160643186152153,0.17378192611429769
successive,40,0.05,-8.0,False,True,False,--,nan,401,8.0,1.589450776258071,9.99999927639519,1.589450776258071,0.022160627512826762,0.17378194781376027
successive,40,0.05,-5.0,False,True,False,--,nan,401,5.0,0.9053822235268715,6.745066906287225,0.9053822235268715,0.012400766970611406,0.09598623216549101
successive,40,0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5454415128511856,4.0136303971305525,0.5454415128511856,0.007186812936758198,0.05549834389261223
successive,40,0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4454413380907571,4.013630425941637,-0.4454413380907571,-0.007186843668889493,0.05549830026537701
successive,40,0.05,5.0,False,True,False,--,nan,401,5.0,0.8053820481037677,6.745066961618202,-0.8053820481037677,-0.012400797718413872,0.09598618844322941
successive,40,0.05,8.0,False,True,False,--,nan,401,8.0,1.489450606605233,9.999999272345692,-1.489450606605233,-0.022160658858731842,0.17378190440895988
successive,60,-0.05,-8.0,False,True,False,--,nan,401,8.0,1.4877128665194927,9.99999999998215,1.4877128665194927,0.022514638442290624,0.17331054759741735
successive,60,-0.05,-5.0,False,True,False,--,nan,401,5.0,0.8050899407623372,6.74506817824747,0.8050899407623372,0.012460292606107036,0.09590698730373387
successive,60,-0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4453426943351991,4.013630608364101,0.4453426943351991,0.007206961804390548,0.05547154817457217
successive,60,-0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5453426946532872,4.013630608304341,-0.5453426946532872,-0.007206961754030165,0.0554715482509884
successive,60,-0.05,5.0,False,True,False,--,nan,401,5.0,0.9050899410826105,6.745068178090615,-0.9050899410826105,-0.012460292555781571,0.0959069873804222
successive,60,-0.05,8.0,False,True,False,--,nan,401,8.0,1.58771286683024,9.99999999998244,-1.58771286683024,-0.022514638391804776,0.1733105476730149
successive,60,0.0,-8.0,False,True,False,--,nan,401,8.0,1.5377128666569506,9.999999999982334,1.5377128666569506,0.022514638416770285,0.17331054763308404
successive,60,0.0,-5.0,False,True,False,--,nan,401,5.0,0.8550899409642774,6.745068178169016,0.8550899409642774,0.012460292581579541,0.0959069873469679
successive,60,0.0,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4953426945086432,4.013630608334201,0.4953426945086432,0.007206961779429483,0.055471548214467044
successive,60,0.0,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4953426945086432,4.013630608334201,-0.4953426945086432,-0.007206961779429483,0.055471548214467044
successive,60,0.0,5.0,False,True,False,--,nan,401,5.0,0.8550899409642774,6.745068178169016,-0.8550899409642774,-0.012460292581579541,0.0959069873469679
successive,60,0.0,8.0,False,True,False,--,nan,401,8.0,1.5377128666569506,9.999999999982334,-1.5377128666569506,-0.022514638416770285,0.17331054763308404
successive,60,0.05,-8.0,False,True,False,--,nan,401,8.0,1.58771286683024,9.99999999998244,1.58771286683024,0.022514638391804776,0.1733105476730149
successive,60,0.05,-5.0,False,True,False,--,nan,401,5.0,0.9050899410826105,6.745068178090615,0.9050899410826105,0.012460292555781571,0.0959069873804222
successive,60,0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5453426946532872,4.013630608304341,0.5453426946532872,0.007206961754030165,0.0554715482509884
successive,60,0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4453426943351991,4.013630608364101,-0.4453426943351991,-0.007206961804390548,0.05547154817457217
successive,60,0.05,5.0,False,True,False,--,nan,401,5.0,0.8050899407623372,6.74506817824747,-0.8050899407623372,-0.012460292606107036,0.09590698730373387
successive,60,0.05,8.0,False,True,False,--,nan,401,8.0,1.4877128665194927,9.99999999998215,-1.4877128665194927,-0.022514638442290624,0.17331054759741735
